,category_id,category_name,num_business,num_reviews,ctg_avg_stars,score
0,247,British,6,1500,4.2247,1056.17500000
1,526,Cambodian,1,161,4.3727,704.00470000
2,299,Botanical Gardens,2,278,4.5036,626.00040000
3,288,Szechuan,4,611,3.8936,594.74740000
4,572,Food Court,1,177,3.1977,565.99290000
5,584,Brasseries,1,127,4.3307,549.99890000
6,280,Climbing,2,249,4.4016,547.99920000
7,343,Zoos,2,251,3.8406,481.99530000
8,240,Pubs,57,6938,3.8687,470.89544912
9,147,Vegetarian,55,6497,3.9070,461.52325454
10,318,Brazilian,3,323,4.1331,444.99710000
11,234,Vegan,26,2802,4.0228,433.53406154
12,394,Breweries,31,3461,3.8388,428.58344516
13,509,Piano Bars,2,222,3.7477,415.99470000
14,382,Gastropubs,17,1727,4.0411,410.52821765
15,136,Wine Bars,64,6270,4.0769,399.40879688
16,517,Fondue,4,403,3.8635,389.24762500
17,364,Irish,17,1779,3.6869,385.82324117
18,135,German,6,597,3.8526,383.33370000
19,485,Airports,10,1142,3.3021,377.09982000
20,528,Tapas/Small Plates,8,759,3.8762,367.75447500
21,536,Scandinavian,3,252,4.2063,353.32920000
22,175,Soul Food,16,1388,4.0490,351.25075000
23,216,Latin American,32,2744,4.0160,344.37200000
24,419,Southern,19,1645,3.8340,331.94368421
25,207,Sushi Bars,124,10538,3.6607,311.10045645
26,502,Ethiopian,5,372,4.0995,305.00280000
27,125,American (New),441,34085,3.8666,298.85047846
28,400,African,4,290,4.0931,296.74975000
29,493,Modern European,3,223,3.9686,294.99926667
